Site,URL,Title,Author,Date,Word Count,Reading Time,Images Count,Links Count
https://www.blazemedia.com/politics,https://www.theblaze.com/news/,News,,,19,1,1,4
https://www.blazemedia.com/politics,https://www.blazemedia.com/news/,News,,,19,1,1,4
https://www.blazemedia.com/politics,https://www.theblaze.com/news/video-3-dead-multiple-victims-injured-in-north-carolina-mass-shooting-suspect-reportedly-flees-by-boat,"VIDEO: 3 dead, multiple victims injured in North Carolina mass shooting; suspect reportedly flees by boat",Blaze News,,6,1,1,0
https://www.breitbart.com/politics,https://www.breitbart.com/news/,THE WIRES,,2025-09-28T12:40:38Z,14,1,1,1
https://www.breitbart.com/politics,https://www.breitbart.com/news/the-taliban-release-a-us-citizen-from-afghan-prison/,The Taliban release a US citizen from Afghan prison,,2025-09-28T12:40:38Z,441,2,0,7
https://www.breitbart.com/politics,https://www.breitbart.com/politics/2025/09/28/nyc-mayor-eric-adams-ends-reelection-campaign/,NYC Mayor Eric Adams Ends Reelection Campaign,,2025-09-28T12:27:28Z,263,1,0,2
https://www.cbn.com/politics,https://www2.cbn.com/news/christian-world-news,Christian World News,,,2,1,1,1
https://www.cbn.com/politics,https://www2.cbn.com/news/cbn-newswatch,Newswatch,,,2,1,1,1
https://www.cbn.com/politics,https://www2.cbn.com/news/jerusalem-dateline,Jerusalem Dateline,,,2,1,1,1
https://www.dailymail.co.uk/news/politics,https://www.dailymail.co.uk/news/us/index.html,US News,,,0,1,330,457
https://www.dailymail.co.uk/news/politics,https://www.dailymail.co.uk/news/royals/index.html,Royal Family,,,0,1,155,428
https://www.dailymail.co.uk/news/politics,https://www.dailymail.co.uk/news/donald_trump/index.html,Donald Trump,,,0,1,248,426
https://www.foxnews.com/politics,https://www.foxnews.com/story/foxnews-com-rss-feeds,FOXNews.com RSS Feeds,,2007-11-09T09:52:22-05:00,483,2,0,14
https://www.foxnews.com/politics,https://www.foxnews.com/story/where-in-the-world-is-fox,Where in the World is FOX?,,2011-03-01T17:59:00-05:00,923,4,0,1
